CountryCode,CountryName,TotalPopulation,TotalExpectedDeaths,PercentDied
426,Lesotho,2142187,11387.35462,0.5315761238397955
428,Latvia,1885776,37932.2463,2.011492685239392
430,Liberia,5057622,18795.7101,0.3716313734003846
434,Libya,6871175,34991.96514,0.5092573706825979
440,Lithuania,2721556,54846.30388,2.0152553862569795
442,Luxembourg,625853,9076.17612,1.450208934046813
446,"China, Macao SAR",649263,8129.5353,1.2521174470129979
450,Madagascar,27690838,97452.04602,0.3519288438291394
454,Malawi,19129883,57248.84856,0.2992639764707395
458,Malaysia,32365669,247003.82304,0.7631661284059971
462,Maldives,540495,2262.3375,0.4185677018288791
466,Mali,20250768,56716.89566,0.2800728133372522
470,Malta,441439,9091.747379999999,2.059570491053124
474,Martinique,375229,7979.0637,2.1264517667877483
478,Mauritania,4649599,16782.2262,0.3609392164786684
